English Name,Korean Translation
"Sausage, Egg & Cheese McGriddles with Egg Whites","달걀 흰자를 곁들인 소시지, 달걀, 치즈 맥그리들"
"Bacon, Egg & Cheese Bagel","베이컨, 에그 & 치즈 베이글"
"Bacon, Egg & Cheese Bagel with Egg Whites","베이컨, 달걀, 치즈 베이글과 달걀 흰자"
"Steak, Egg & Cheese Bagel","스테이크, 에그 & 치즈 베이글"
Big Breakfast (Regular Biscuit),빅 조식(일반 비스킷)
Big Breakfast (Large Biscuit),빅 조식(라지 비스킷)
Big Breakfast with Egg Whites (Regular Biscuit),달걀흰자를 곁들인 빅 브렉퍼스트(레귤러 비스킷)
Big Breakfast with Egg Whites (Large Biscuit),달걀흰자를 곁들인 빅 브랙퍼스트(라지 비스킷)
Big Breakfast with Hotcakes (Regular Biscuit),핫케이크가 포함된 빅 조식(일반 비스킷)
Big Breakfast with Hotcakes (Large Biscuit),핫케이크가 포함된 빅 조식(라지 비스킷)
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),핫케이크와 달걀흰자를 곁들인 빅 브렉퍼스트(일반 비스킷)
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),핫케이크와 달걀흰자를 곁들인 빅 조식(라지 비스킷)
Hotcakes,핫케이크
Hotcakes and Sausage,핫케이크와 소시지
Sausage Burrito,소시지 부리또
Hash Brown,해시 브라운
Cinnamon Melts,시나몬 멜트
Fruit & Maple Oatmeal,과일 & 메이플 오트밀
Fruit & Maple Oatmeal without Brown Sugar,흑설탕을 넣지 않은 과일 & 메이플 오트밀
Big Mac,빅맥
Quarter Pounder with Cheese,쿼터파운더와 치즈
Quarter Pounder with Bacon & Cheese,베이컨 & 치즈 쿼터파운더
Quarter Pounder with Bacon Habanero Ranch,베이컨 하바네로 랜치 쿼터파운더
Quarter Pounder Deluxe,쿼터파운더 디럭스
Double Quarter Pounder with Cheese,더블 쿼터파운더 치즈
Hamburger,햄버거
Cheeseburger,치즈버거
Double Cheeseburger,더블 치즈버거
Bacon Clubhouse Burger,베이컨 클럽하우스 버거
McDouble,맥더블
Bacon McDouble,베이컨 맥더블
Daily Double,데일리 더블
Jalapeño Double,할라피뇨 더블
McRib,McRib
Premium Crispy Chicken Classic Sandwich,프리미엄 크리스피 치킨 클래식 샌드위치
Premium Grilled Chicken Classic Sandwich,프리미엄 그릴드 치킨 클래식 샌드위치
Premium Crispy Chicken Club Sandwich,프리미엄 크리스피 치킨 클럽 샌드위치
Premium Grilled Chicken Club Sandwich,프리미엄 그릴드 치킨 클럽 샌드위치
Premium Crispy Chicken Ranch BLT Sandwich,프리미엄 크리스피 치킨 랜치 BLT 샌드위치
Premium Grilled Chicken Ranch BLT Sandwich,프리미엄 그릴드 치킨 랜치 BLT 샌드위치
Bacon Clubhouse Crispy Chicken Sandwich,베이컨 클럽하우스 크리스피 치킨 샌드위치
Bacon Clubhouse Grilled Chicken Sandwich,베이컨 클럽하우스 그릴드 치킨 샌드위치
Southern Style Crispy Chicken Sandwich,남부 스타일 크리스피 치킨 샌드위치
McChicken,맥치킨
Bacon Cheddar McChicken,베이컨 체다 맥치킨
Bacon Buffalo Ranch McChicken,베이컨 버팔로 랜치 맥치킨
Buffalo Ranch McChicken,버팔로 랜치 맥치킨
Premium McWrap Chicken & Bacon (Crispy Chicken),프리미엄 맥랩 치킨 & 베이컨(크리스피 치킨)
Premium McWrap Chicken & Bacon (Grilled Chicken),프리미엄 맥랩 치킨 & 베이컨 (그릴드 치킨)
Premium McWrap Chicken & Ranch (Crispy Chicken),프리미엄 맥랩 치킨 & 랜치(크리스피 치킨)
Premium McWrap Chicken & Ranch (Grilled Chicken),프리미엄 맥랩 치킨 & 랜치(구운 치킨)
Premium McWrap Southwest Chicken (Crispy Chicken),프리미엄 맥랩 사우스웨스트 치킨(크리스피 치킨)
Premium McWrap Southwest Chicken (Grilled Chicken),프리미엄 맥랩 사우스웨스트 치킨 (구운 치킨)
Premium McWrap Chicken Sweet Chili (Crispy Chicken),프리미엄 맥랩 치킨 스위트 칠리 (크리스피 치킨)
Premium McWrap Chicken Sweet Chili (Grilled Chicken),프리미엄 맥랩 치킨 스위트 칠리 (그릴드 치킨)
Chicken McNuggets (4 piece),치킨 맥너겟 (4조각)
Chicken McNuggets (6 piece),치킨 맥너겟 (6개입)
Chicken McNuggets (10 piece),치킨 맥너겟 (10개입)
Chicken McNuggets (20 piece),치킨 맥너겟(20개입)
Chicken McNuggets (40 piece),치킨 맥너겟 (40개입)
Filet-O-Fish,필레-오-피시
Premium Bacon Ranch Salad (without Chicken),프리미엄 베이컨 랜치 샐러드(치킨 제외)
Premium Bacon Ranch Salad with Crispy Chicken,크리스피 치킨을 곁들인 프리미엄 베이컨 랜치 샐러드
Premium Bacon Ranch Salad with Grilled Chicken,그릴드 치킨을 곁들인 프리미엄 베이컨 랜치 샐러드
Premium Southwest Salad (without Chicken),프리미엄 사우스웨스트 샐러드(치킨 미포함)
Premium Southwest Salad with Crispy Chicken,크리스피 치킨을 곁들인 프리미엄 남서부 샐러드
Premium Southwest Salad with Grilled Chicken,구운 닭고기를 곁들인 프리미엄 남서부 샐러드
Chipotle BBQ Snack Wrap (Crispy Chicken),치폴레 바베큐 스낵 랩 (크리스피 치킨)
Chipotle BBQ Snack Wrap (Grilled Chicken),치폴레 바베큐 스낵 랩 (그릴드 치킨)
Honey Mustard Snack Wrap (Crispy Chicken),허니 머스타드 스낵 랩 (크리스피 치킨)
Honey Mustard Snack Wrap (Grilled Chicken),허니 머스타드 스낵 랩 (그릴드 치킨)
Ranch Snack Wrap (Crispy Chicken),랜치 스낵 랩 (크리스피 치킨)
Ranch Snack Wrap (Grilled Chicken),랜치 스낵 랩 (그릴드 치킨)
Small French Fries,작은 감자튀김
Medium French Fries,미디엄 프렌치 프라이
Large French Fries,라지 프렌치 프라이
Kids French Fries,어린이 감자튀김
Side Salad,사이드 샐러드
Apple Slices,애플 슬라이스
Fruit 'n Yogurt Parfait,후르츠 앤 요거트 파르페
Baked Apple Pie,구운 사과 파이
Chocolate Chip Cookie,초콜릿 칩 쿠키
Oatmeal Raisin Cookie,오트밀 건포도 쿠키
Kids Ice Cream Cone,키즈 아이스크림 콘
Hot Fudge Sundae,핫 퍼지 순대
Hot Caramel Sundae,핫 카라멜 순대
Strawberry Sundae,딸기 순대
Coca-Cola Classic (Small),코카콜라 클래식(스몰)
Coca-Cola Classic (Medium),코카콜라 클래식(미디엄)
Coca-Cola Classic (Large),코카콜라 클래식(라지)
Coca-Cola Classic (Child),코카콜라 클래식(어린이)
Diet Coke (Small),다이어트 콜라 (스몰)
Diet Coke (Medium),다이어트 콜라(미디엄)
Diet Coke (Large),다이어트 콜라(라지)
Diet Coke (Child),다이어트 콜라(어린이)
Dr Pepper (Small),닥터 페퍼(스몰)
Dr Pepper (Medium),닥터 페퍼(미디엄)
Dr Pepper (Large),닥터 페퍼(라지)
Dr Pepper (Child),닥터 페퍼(어린이)
Diet Dr Pepper (Small),다이어트 닥터 페퍼 (스몰)
Diet Dr Pepper (Medium),다이어트 닥터 페퍼(미디엄)
Diet Dr Pepper (Large),다이어트 닥터 페퍼 (라지)
Diet Dr Pepper (Child),다이어트 닥터 페퍼(어린이)
Sprite (Small),스프라이트 (스몰)
Sprite (Medium),스프라이트(미디엄)
Sprite (Large),스프라이트(라지)
Sprite (Child),스프라이트(어린이)
1% Low Fat Milk Jug,1% 저지방 우유 저그
Fat Free Chocolate Milk Jug,무지방 초콜릿 밀크 저그
Minute Maid 100% Apple Juice Box,미닛메이드 100% 사과 주스 박스
Minute Maid Orange Juice (Small),미닛메이드 오렌지 주스 (스몰)
Minute Maid Orange Juice (Medium),미닛메이드 오렌지 주스 (미디엄)
Minute Maid Orange Juice (Large),미닛메이드 오렌지 주스 (라지)
Dasani Water Bottle,다사니 물병
Iced Tea (Small),아이스티 (스몰)
Iced Tea (Medium),아이스티(미디엄)
Iced Tea (Large),아이스티 (라지)
Iced Tea (Child),아이스티(어린이)
Sweet Tea (Small),스위트 티 (스몰)
Sweet Tea (Medium),스위트 티 (미디엄)
Sweet Tea (Large),스위트 티 (라지)
Sweet Tea (Child),스위트 티 (어린이)
Coffee (Small),커피(스몰)
Coffee (Medium),커피(미디엄)
Coffee (Large),커피(라지)
Latte (Small),라떼(스몰)
Latte (Medium),라떼(미디엄)
Latte (Large),라떼(라지)
Caramel Latte (Small),카라멜 라떼 (스몰)
Caramel Latte (Medium),카라멜 라떼 (미디엄)
Caramel Latte (Large),카라멜 라떼 (라지)
Hazelnut Latte (Small),헤이즐넛 라떼 (스몰)
Hazelnut Latte (Medium),헤이즐넛 라떼 (미디엄)
Hazelnut Latte (Large),헤이즐넛 라떼 (라지)
French Vanilla Latte (Small),프렌치 바닐라 라떼 (스몰)
French Vanilla Latte (Medium),프렌치 바닐라 라떼 (미디엄)
French Vanilla Latte (Large),프렌치 바닐라 라떼 (라지)
Latte with Sugar Free French Vanilla Syrup (Small),무설탕 프렌치 바닐라 시럽을 넣은 라떼 (스몰)
Latte with Sugar Free French Vanilla Syrup (Medium),무설탕 프렌치 바닐라 시럽을 넣은 라떼(미디엄)
Latte with Sugar Free French Vanilla Syrup (Large),무설탕 프렌치 바닐라 시럽을 넣은 라떼 (라지)
Nonfat Latte (Small),무지방 라떼 (스몰)
Nonfat Latte (Medium),무지방 라떼(미디엄)
Nonfat Latte (Large),무지방 라떼 (라지)
Nonfat Caramel Latte (Small),무지방 카라멜 라떼 (스몰)
Nonfat Caramel Latte (Medium),무지방 카라멜 라떼 (미디엄)
Nonfat Caramel Latte (Large),무지방 카라멜 라떼 (라지)
Nonfat Hazelnut Latte (Small),무지방 헤이즐넛 라떼 (스몰)
Nonfat Hazelnut Latte (Medium),무지방 헤이즐넛 라떼 (미디엄)
Nonfat Hazelnut Latte (Large),무지방 헤이즐넛 라떼 (라지)
Nonfat French Vanilla Latte (Small),무지방 프렌치 바닐라 라떼 (스몰)
Nonfat French Vanilla Latte (Medium),무지방 프렌치 바닐라 라떼 (미디엄)
Nonfat French Vanilla Latte (Large),무지방 프렌치 바닐라 라떼 (라지)
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),무설탕 프렌치 바닐라 시럽을 넣은 무지방 라떼 (스몰)
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),무설탕 프렌치 바닐라 시럽을 넣은 무지방 라떼(미디엄)
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),무설탕 프렌치 바닐라 시럽을 넣은 무지방 라떼 (라지)
Mocha (Small),모카(스몰)
Mocha (Medium),모카(미디엄)
Mocha (Large),모카(라지)
Mocha with Nonfat Milk (Small),무지방 우유를 넣은 모카 (스몰)
Mocha with Nonfat Milk (Medium),무지방 우유를 넣은 모카(미디엄)
Mocha with Nonfat Milk (Large),무지방 우유를 넣은 모카 (라지)
Caramel Mocha (Small),카라멜 모카 (스몰)
Caramel Mocha (Medium),카라멜 모카 (미디엄)
Caramel Mocha (Large),카라멜 모카 (라지)
Nonfat Caramel Mocha (Small),무지방 카라멜 모카 (스몰)
Nonfat Caramel Mocha (Medium),무지방 카라멜 모카(미디엄)
Nonfat Caramel Mocha (Large),무지방 카라멜 모카 (라지)
Hot Chocolate (Small),핫 초콜릿 (스몰)
Hot Chocolate (Medium),핫 초콜릿 (미디엄)
Hot Chocolate (Large),핫 초콜릿 (라지)
Hot Chocolate with Nonfat Milk (Small),무지방 우유를 넣은 핫 초콜릿 (스몰)
Hot Chocolate with Nonfat Milk (Medium),무지방 우유를 넣은 핫 초콜릿 (미디엄)
Hot Chocolate with Nonfat Milk (Large),무지방 우유를 넣은 핫 초콜릿 (라지)
Regular Iced Coffee (Small),레귤러 아이스 커피(스몰)
Regular Iced Coffee (Medium),레귤러 아이스 커피(미디엄)
Regular Iced Coffee (Large),레귤러 아이스 커피(라지)
Caramel Iced Coffee (Small),카라멜 아이스 커피 (스몰)
Caramel Iced Coffee (Medium),카라멜 아이스 커피(미디엄)
Caramel Iced Coffee (Large),카라멜 아이스 커피 (라지)
Hazelnut Iced Coffee (Small),헤이즐넛 아이스 커피 (스몰)
Hazelnut Iced Coffee (Medium),헤이즐넛 아이스 커피 (미디엄)
Hazelnut Iced Coffee (Large),헤이즐넛 아이스 커피 (라지)
French Vanilla Iced Coffee (Small),프렌치 바닐라 아이스 커피 (스몰)
French Vanilla Iced Coffee (Medium),프렌치 바닐라 아이스 커피 (미디엄)
French Vanilla Iced Coffee (Large),프렌치 바닐라 아이스 커피 (라지)
Iced Coffee with Sugar Free French Vanilla Syrup (Small),무설탕 프렌치 바닐라 시럽을 넣은 아이스 커피 (스몰)
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),무설탕 프렌치 바닐라 시럽을 넣은 아이스 커피(미디엄)
Iced Coffee with Sugar Free French Vanilla Syrup (Large),무설탕 프렌치 바닐라 시럽을 넣은 아이스 커피(라지)
Iced Mocha (Small),아이스 모카(스몰)
Iced Mocha (Medium),아이스 모카(미디엄)
Iced Mocha (Large),아이스 모카(라지)
Iced Mocha with Nonfat Milk (Small),무지방 우유를 넣은 아이스 모카 (스몰)
Iced Mocha with Nonfat Milk (Medium),무지방 우유를 넣은 아이스 모카(미디엄)
Iced Mocha with Nonfat Milk (Large),무지방 우유를 넣은 아이스 모카 (라지)
Iced Caramel Mocha (Small),아이스 카라멜 모카 (스몰)
Iced Caramel Mocha (Medium),아이스 카라멜 모카(미디엄)
Iced Caramel Mocha (Large),아이스 카라멜 모카 (라지)
Iced Nonfat Caramel Mocha (Small),아이스 무지방 카라멜 모카 (스몰)
Iced Nonfat Caramel Mocha (Medium),아이스 무지방 카라멜 모카(미디엄)
Iced Nonfat Caramel Mocha (Large),아이스 무지방 카라멜 모카 (라지)
Frappé Mocha (Small),프라페 모카 (스몰)
Frappé Mocha (Medium),프라페 모카 (미디엄)
Frappé Mocha (Large),프라페 모카 (라지)
Frappé Caramel (Small),프라페 카라멜 (스몰)
Frappé Caramel (Medium),프라페 카라멜 (미디엄)
Frappé Caramel (Large),프라페 카라멜 (라지)
Frappé Chocolate Chip (Small),프라페 초콜릿 칩 (스몰)
Frappé Chocolate Chip (Medium),프라페 초콜릿 칩 (미디엄)
Frappé Chocolate Chip (Large),프라페 초콜릿 칩 (라지)
Blueberry Pomegranate Smoothie (Small),블루베리 석류 스무디 (스몰)
Blueberry Pomegranate Smoothie (Medium),블루베리 석류 스무디 (미디엄)
Blueberry Pomegranate Smoothie (Large),블루베리 석류 스무디 (라지)
Strawberry Banana Smoothie (Small),딸기 바나나 스무디 (스몰)
Strawberry Banana Smoothie (Medium),딸기 바나나 스무디 (미디엄)
Strawberry Banana Smoothie (Large),딸기 바나나 스무디 (라지)
Mango Pineapple Smoothie (Small),망고 파인애플 스무디 (스몰)
Mango Pineapple Smoothie (Medium),망고 파인애플 스무디 (미디엄)
Mango Pineapple Smoothie (Large),망고 파인애플 스무디 (라지)
Vanilla Shake (Small),바닐라 쉐이크 (스몰)
Vanilla Shake (Medium),바닐라 쉐이크 (미디엄)
Vanilla Shake (Large),바닐라 쉐이크 (라지)
Strawberry Shake (Small),딸기 쉐이크 (스몰)
Strawberry Shake (Medium),딸기 쉐이크 (미디엄)
Strawberry Shake (Large),딸기 쉐이크 (라지)
Chocolate Shake (Small),초콜릿 쉐이크 (스몰)
Chocolate Shake (Medium),초콜릿 쉐이크(미디엄)
Chocolate Shake (Large),초콜릿 쉐이크 (라지)
Shamrock Shake (Medium),샴록 쉐이크 (미디엄)
Shamrock Shake (Large),샴록 쉐이크 (라지)
McFlurry with M&M’s Candies (Small),맥플러리와 M&M 캔디 (스몰)
McFlurry with M&M’s Candies (Medium),맥플러리와 M&M 캔디 (미디엄)
McFlurry with M&M’s Candies (Snack),맥플러리와 M&M 캔디 (스낵)
McFlurry with Oreo Cookies (Small),오레오 쿠키와 맥플러리 (스몰)
McFlurry with Oreo Cookies (Medium),오레오 쿠키와 맥플러리(미디엄)
McFlurry with Oreo Cookies (Snack),오레오 쿠키를 곁들인 맥플러리(스낵)
McFlurry with Reese's Peanut Butter Cups (Medium),맥플러리와 리즈 땅콩버터 컵 (미디엄)
McFlurry with Reese's Peanut Butter Cups (Snack),맥플러리와 리즈 땅콩버터 컵 (스낵)
